Years,World,Central and East Asia,Europe,Latin America,Middle East/North Africa,North America,Oceania,South Asia,Southeast Asia,Sub-Saharan Africa
2112,-0.54390777222212,0.323918021332359,-0.267523723167923,-0.525610063550445,-0.702414066451753,-0.386194158110018,-0.272631387886145,-0.177085919421838,-0.723767814599624,-0.680175308759524
2113,-0.54509543828941,0.325177339509099,-0.26826846123584,-0.526802665169668,-0.703607912575068,-0.387126703787047,-0.273420709909613,-0.177573384787256,-0.724993293320932,-0.681383651169314
2114,-0.546243030739904,0.326398838313799,-0.268989310763132,-0.527955142540061,-0.704759672942117,-0.388028839315557,-0.274184664537769,-0.178045424738355,-0.726175039996585,-0.682549708472777
2115,-0.547351990538472,0.327583612691711,-0.269687059691397,-0.529068936356657,-0.705870981378462,-0.388901596710507,-0.274924090309587,-0.178502536635486,-0.727314770452594,-0.68367509194759
2116,-0.548423701226564,0.328732728562244,-0.270362468006269,-0.530145424609989,-0.706943389286267,-0.389745970797351,-0.275639796168775,-0.17894519739481,-0.728414134374914,-0.684761348767359
2117,-0.54945949658755,0.329847223441114,-0.271016268668614,-0.531185932530222,-0.707978382455604,-0.390562920598388,-0.276332563088735,-0.179373872955818,-0.729474703968643,-0.685809962201462
2118,-0.550460655644614,0.330928107057223,-0.271649169397215,-0.532191737237514,-0.708977390335626,-0.391353370668283,-0.277003145057416,-0.179789009178697,-0.730497979650476,-0.6868223475189
2119,-0.551428406601206,0.331976361954957,-0.272261855134551,-0.533164065064594,-0.709941774564098,-0.392118212387307,-0.277652270044118,-0.180191041824259,-0.73148539843224,-0.68779986130241
2120,-0.552363930519631,0.332992944102995,-0.272854988364188,-0.534104093879877,-0.710872838907977,-0.392858305928844,-0.278280644641003,-0.180580388333572,-0.732438339515909,-0.688743803977965
2121,-0.553268363204212,0.333978783497195,-0.273429206241497,-0.535012956775776,-0.71177183254333,-0.393574481827564,-0.278888947506948,-0.180957455576618,-0.733358116519976,-0.689655425024036
2122,-0.554142797018024,0.334934784742791,-0.273985125444514,-0.535891743844597,-0.712639952466238,-0.394267539435658,-0.279477833946528,-0.181322635402774,-0.734245987178593,-0.690535918763295
2123,-0.554988282632722,0.335861824539041,-0.27452334404205,-0.536741503888572,-0.71347834580595,-0.39493824962016,-0.280047939522283,-0.181676306550345,-0.735103155848155,-0.691386430040718
2124,-0.555805830710057,0.336760758211345,-0.275044435822341,-0.537563246069305,-0.714288112039928,-0.395587355834064,-0.280599877366346,-0.182018837574859,-0.735930775909086,-0.692208056896769
2125,-0.556596413522408,0.337632417739828,-0.275548958815385,-0.538357941496164,-0.715070305118238,-0.396215576734567,-0.281134237486353,-0.182350582270511,-0.736729952069232,-0.693001852611265
2126,-0.557360966509564,0.338477611747763,-0.276037450360685,-0.539126524750458,-0.715825935495661,-0.39682360710048,-0.281651594315023,-0.182671885487252,-0.737501742567709,-0.693768827658052
2127,-0.558100389767393,0.339297122208217,-0.276510429411055,-0.539869895351159,-0.716555972069104,-0.397412114125371,-0.282152499232095,-0.182983078843214,-0.738247161277068,-0.694509952921172
2128,-0.558815549484018,0.340091713734565,-0.276968399719656,-0.540588919166011,-0.717261344035696,-0.397981741831457,-0.282637486047584,-0.183284483151162,-0.738967179717581,-0.695226161732765
2129,-0.559507279316137,0.340862129145088,-0.277411844777161,-0.541284430841578,-0.717942942663144,-0.398533116911976,-0.283107072012516,-0.183576411710521,-0.739662729093947,-0.695918347613471
2130,-0.560176382894013,0.341609085427031,-0.277841236043046,-0.541957236167214,-0.718601627289522,-0.399066838389698,-0.283561753987008,-0.183859164613587,-0.740334708728089,-0.696587368226019
2131,-0.560823636711304,0.342333284728054,-0.278257024899019,-0.542608108071276,-0.719238221706296,-0.399583486791526,-0.284002016401833,-0.184133031516986,-0.740983974653599,-0.697234046940029
2132,-0.561449784565773,0.34303540630521,-0.278659651797346,-0.543237790879417,-0.719853513402645,-0.400083624430819,-0.284428322731102,-0.184398294750219,-0.741611347655222,-0.697859175142111
2133,-0.562055542663748,0.343716109932335,-0.279049538944061,-0.543847001893934,-0.720448258219306,-0.40056778948104,-0.284841125836705,-0.184655229161965,-0.742217614876309,-0.698463520208796
2134,-0.562641603850911,0.34437603880735,-0.279427097053761,-0.544436437875652,-0.721023189531026,-0.401036509021717,-0.285240858838831,-0.184904098724202,-0.742803539620563,-0.699047811319509
2135,-0.563208636577492,0.345015813144975,-0.279792722226788,-0.54500676386285,-0.721579007236778,-0.401490284308564,-0.285627944434389,-0.185145157051047,-0.743369849245356,-0.699612748958101
2136,-0.563757280493947,0.34563604106401,-0.280146796244257,-0.545558620593923,-0.722116380089363,-0.401929605948041,-0.286002788408633,-0.185378649641209,-0.743917238589236,-0.700159015388127
2137,-0.564288156344538,0.346237306232088,-0.280489691528348,-0.546092633736474,-0.72263596096684,-0.402354942270423,-0.286365784049153,-0.185604815720161,-0.744446384130695,-0.700687259507266
2138,-0.564801862085631,0.346820182806169,-0.280821764625633,-0.546609397903967,-0.723138369647253,-0.4027667510134,-0.286717312909639,-0.185823891592696,-0.744957930330223,-0.70119810404185
2139,-0.565298969548911,0.347385220801218,-0.281143363111964,-0.547109490116567,-0.723624202782617,-0.403165468830746,-0.287057740535808,-0.186036097956323,-0.745452493127964,-0.701692158381856
2140,-0.565780039806099,0.347932961026713,-0.281454821415354,-0.547593468252438,-0.724094040839084,-0.403551524060856,-0.287387425289056,-0.186241655192944,-0.745930676744552,-0.702169996123556
2141,-0.566245603417328,0.348463922917784,-0.281756462407235,-0.548061865651516,-0.724548431004481,-0.403925323646953,-0.287706709405224,-0.186440770496176,-0.746393046713016,-0.702632180311106
2142,-0.566696180367976,0.348978614829621,-0.282048601814803,-0.548515204590063,-0.724987915072718,-0.404287267350391,-0.288015925597445,-0.186633642850809,-0.746840161830308,-0.703079244768102
2143,-0.567132265987184,0.349477527722463,-0.282331541957003,-0.548953979389805,-0.725412997302604,-0.404637736828514,-0.28831539699147,-0.186820462741632,-0.747272546237301,-0.703511709244283
2144,-0.567554343461729,0.349961138770007,-0.282605574177741,-0.549378677767285,-0.725824181040425,-0.404977102394471,-0.288605432779602,-0.187001422457729,-0.747690715788414,-0.703930070120035
2145,-0.567962874122639,0.350429913567051,-0.282870982610127,-0.549789759475631,-0.726221933326207,-0.405305723315626,-0.288886333662973,-0.18717672275905,-0.748095155975436,-0.704334809363566
2146,-0.56835830858008,0.350884297190134,-0.283128043622381,-0.550187678686056,-0.726606720326157,-0.405623944092152,-0.289158392978987,-0.187346548321219,-0.748486345816242,-0.704726386666491
2147,-0.568741074897219,0.351324728810416,-0.283377022827344,-0.550572864381321,-0.726978976934264,-0.405932101398881,-0.28942189207457,-0.187511067361217,-0.748864732322629,-0.705105251518586
2148,-0.569111595295247,0.351751632288948,-0.283618175347621,-0.550945738271564,-0.727339132166394,-0.406230517761463,-0.289677101583543,-0.187670432603636,-0.749230763567704,-0.705471827175077
2149,-0.569470267900753,0.352165416185902,-0.283851748132659,-0.551306702469555,-0.727687594538518,-0.406519504227193,-0.289924284384533,-0.187824795746108,-0.749584853908032,-0.705826535526029
2150,-0.569817484495166,0.35256648078019,-0.284077981005693,-0.551656146668662,-0.728024756215532,-0.406799365793863,-0.290163695873493,-0.187974298946509,-0.749927413748063,-0.70616976959466
2151,-0.570153619397929,0.352955211687203,-0.284297111177074,-0.55199444946146,-0.728351002918555,-0.407070395143739,-0.290395586131357,-0.188119100872842,-0.750258833898057,-0.706501916433003
